index_name,min,max,mean,median,last,95_perc
NIFTY AUTO,14.79,747.43,49.043796823494155,32.21,22.15,142.08
NIFTY CONSUMER DURABLES,37.8,106.93,69.35185876623378,67.305,86.67,99.507
NIFTY FINANCIAL SERVICES EX-BANK,16.31,26.06,20.48287142857143,20.0,21.76,24.11
NIFTY FMCG,18.8,52.36,35.14395442629562,35.88,45.08,45.47
NIFTY HEALTHCARE,30.63,44.67,37.26492156862745,36.91,42.24,42.872499999999995
NIFTY IT,9.58,52.0,24.305456745311552,22.41,34.81,36.870999999999995
NIFTY METAL,4.75,45.44,15.700925981420436,13.19,20.49,32.59399999999999
NIFTY OIL & GAS,6.87,21.11,12.395641233766234,11.395,12.67,19.39
NIFTY PHARMA,16.85,83.32,36.46518104696876,34.99,36.71,53.22
NIFTY PRIVATE BANK,14.4,43.73,25.480651392632524,24.72,14.83,39.75
NIFTY PSU BANK,3.62,256.81,14.12220548357939,9.09,7.35,42.16399999999996
NIFTY REALTY,4.15,23307.57,87.01234741784037,37.995000000000005,53.64,82.48499999999997
